Date,Av­er­age views per view­er,Unique view­ers,Im­pres­sions click-through rate (%),Im­pres­sions,Com­ments ad­ded,Shares,Likes (vs. dis­likes) (%),Dis­likes,Sub­scribers lost,Sub­scribers gained,Likes,Av­er­age per­cent­age viewed (%),Videos pub­lished,Videos ad­ded,Sub­scribers,Views,Watch time (hours),Av­er­age view dur­a­tion,Your es­tim­ated rev­en­ue (USD)
08-04-2019,1.48,4221,7.82,56900,16,15,99.39,1,10,81,162,21.89,0,0,71,6247,256.4877,00:02:27,2.805
09-04-2019,1.5239,3949,7.72,55593,12,11,100,0,10,75,132,21.3,0,0,65,6018,245.8182,00:02:27,3.087
10-04-2019,1.5165,3760,7.58,54279,10,6,96.24,5,13,93,128,22.68,0,0,80,5702,242.1799,00:02:32,2.714
11-04-2019,1.4912,3339,7.4,47482,10,10,95.96,4,12,79,95,22.45,0,0,67,4979,214.561,00:02:35,2.745
12-04-2019,1.5112,3631,7.43,52181,10,18,94.74,5,7,90,90,22.22,0,0,83,5487,232.9109,00:02:32,2.995
13-04-2019,1.5867,3327,7.64,49960,8,12,92.55,7,8,72,87,24.05,0,0,64,5279,244.5486,00:02:46,2.879
14-04-2019,1.4819,3652,7.8,50967,7,11,100,0,9,85,101,22.58,0,0,76,5412,229.8027,00:02:32,2.443
15-04-2019,1.5207,4204,7.97,58599,9,6,99.21,1,11,83,125,23.29,0,0,72,6393,284.698,00:02:40,4.073
16-04-2019,1.5191,5471,7.95,77021,25,11,98.65,2,12,103,146,21.36,0,0,91,8311,347.466,00:02:30,5.293
17-04-2019,1.5171,6535,7.67,90257,22,13,95.22,10,12,144,199,22.3,0,0,132,9914,445.3865,00:02:41,7.22
18-04-2019,1.4762,8874,7.89,120315,65,20,98.26,8,25,135,453,28.28,1,1,110,13100,784.0256,00:03:35,8.788
19-04-2019,1.5175,8531,7.54,126269,32,23,97.93,8,10,134,378,26.09,0,0,124,12946,705.1633,00:03:16,6.661
20-04-2019,1.5778,5855,7.14,93219,13,16,95.71,9,14,107,201,24.05,0,0,93,9238,453.8376,00:02:56,5.076
21-04-2019,1.5268,4975,7.65,72550,14,14,96.36,6,10,102,159,24.19,0,0,92,7596,347.8084,00:02:44,3.911
22-04-2019,1.5234,4316,7.58,64321,17,13,96.67,5,11,94,145,24.5,0,0,83,6575,309.983,00:02:49,3.44
23-04-2019,1.5054,4163,7.8,59927,10,12,99.24,1,10,67,131,23.69,0,0,57,6267,290.8815,00:02:47,3.847
24-04-2019,1.5734,3507,8.05,51751,7,14,98.4,2,6,76,123,23.4,0,0,70,5518,256.4642,00:02:47,2.788
25-04-2019,1.4694,3183,8.02,45303,8,8,96.69,4,11,57,117,24.27,0,0,46,4677,219.22,00:02:48,2.318
26-04-2019,1.4654,3255,8.13,45730,11,10,97.69,3,10,59,127,25.46,0,0,49,4770,217.6515,00:02:44,2.747
27-04-2019,1.4629,2899,8.03,40862,7,9,93.75,7,5,61,105,23.84,0,0,56,4241,177.0157,00:02:30,1.675
28-04-2019,1.4227,2839,8.15,39322,6,11,95.18,4,13,47,79,25.58,0,0,34,4039,169.5306,00:02:31,1.365
29-04-2019,1.4314,2733,8.37,37757,8,4,95.24,4,8,43,80,23.15,0,0,35,3912,146.7822,00:02:15,1.254
30-04-2019,1.3806,2727,8.24,36556,14,10,95.06,4,3,52,77,25.22,0,0,49,3765,150.8648,00:02:24,1.334
01-05-2019,1.4938,6172,8.56,82412,64,22,98.76,6,20,73,477,33.08,1,1,53,9220,587.3249,00:03:49,4.173
02-05-2019,1.5472,13051,9.19,171292,27,18,98.19,8,20,211,435,23.99,0,0,191,20192,1012.6816,00:03:00,10.529
03-05-2019,1.5932,11213,8.6,161213,28,14,98.06,8,22,179,405,24.22,0,0,157,17865,871.0481,00:02:55,9.81
04-05-2019,1.578,7453,8.08,111571,31,11,94.57,14,17,138,244,24.57,0,0,121,11761,567.2658,00:02:53,6.079
05-05-2019,1.6091,5375,7.8,82192,12,7,96.67,7,6,115,203,23.89,0,0,109,8649,397.0504,00:02:45,5.489
06-05-2019,1.5978,4160,7.63,66793,13,11,98.43,2,9,68,125,25.48,0,0,59,6647,320.3501,00:02:53,3.285
07-05-2019,1.5677,4245,7.71,67873,15,9,97.86,3,15,95,137,25.06,0,0,80,6655,317.3461,00:02:51,3.284
08-05-2019,1.5532,12739,9.12,164394,91,24,96.64,27,22,223,777,28.22,1,1,201,19786,1057.3096,00:03:12,13.43
09-05-2019,1.5198,18207,9.1,233742,46,28,96.08,30,16,290,735,23.03,0,0,274,27671,1231.8775,00:02:40,16.065
10-05-2019,1.5352,14492,8.48,193156,41,22,96.69,16,24,264,467,20.59,0,0,240,22248,926.0219,00:02:29,15.758
11-05-2019,1.5023,15273,8.55,191170,30,22,95.57,17,23,231,367,18.31,0,0,208,22944,863.7662,00:02:15,16.8
12-05-2019,1.4684,11737,7.77,157557,30,21,96.12,12,23,203,297,17.69,0,0,180,17235,620.7024,00:02:09,12.457
13-05-2019,1.5107,10081,8.02,140224,18,6,96.67,10,20,162,290,19.14,0,0,142,15229,582.2652,00:02:17,9.915
14-05-2019,1.5143,16927,8.6,214243,164,30,98.13,19,33,222,999,28.16,1,1,189,25632,1327.7768,00:03:06,22.873
15-05-2019,1.5591,26430,8.27,367530,98,48,96.65,37,30,368,1067,27.54,0,0,338,41208,2026.0944,00:02:57,27.535
16-05-2019,1.6732,19240,7.52,315505,53,37,96.08,28,36,316,686,26.33,0,0,280,32193,1572.8606,00:02:55,21.604
17-05-2019,1.572,23762,7.39,368686,106,44,97.21,29,27,374,1009,27.12,1,1,347,37353,1808.8299,00:02:54,25.571
18-05-2019,1.6234,21880,7.81,336909,66,53,96.46,31,34,435,844,26.12,0,0,401,35521,1684.9227,00:02:50,22.505
19-05-2019,1.5783,19478,7.78,294634,62,29,96.92,24,32,358,754,26.24,0,0,326,30742,1456.3416,00:02:50,15.554
20-05-2019,1.5748,24169,8.02,367447,65,58,96.25,40,37,451,1028,28.16,0,0,414,38061,1916.2439,00:03:01,19.769
21-05-2019,1.6112,28589,8.04,439621,91,78,95.65,61,44,627,1342,28.47,0,0,583,46063,2351.3596,00:03:03,19.956
22-05-2019,1.6097,19171,7.66,315664,44,56,97.01,27,38,439,875,29.52,0,0,401,30859,1598.5392,00:03:06,12.042
23-05-2019,1.6256,16105,7.45,274897,57,49,96.22,28,23,328,712,29.65,1,1,305,26181,1354.4051,00:03:06,9.615
24-05-2019,1.5474,17507,6.45,321925,95,42,97.57,26,36,284,1044,31.09,0,0,248,27090,1465.1937,00:03:14,10.734
25-05-2019,1.586,14139,6.72,262715,40,41,96.3,29,18,268,754,28.37,0,0,250,22425,1122.278,00:03:00,8.037
26-05-2019,1.5416,12257,7.12,212842,26,30,96.35,23,28,240,607,28.11,0,0,212,18896,942.451,00:02:59,6.737
27-05-2019,1.5256,11335,7.12,193483,38,25,96.96,16,17,222,510,27.02,0,0,205,17293,839.2141,00:02:54,5.566
28-05-2019,1.5004,10841,7.34,179830,33,31,95.92,19,23,213,447,27.04,0,0,190,16266,774.5095,00:02:51,4.78
29-05-2019,1.5015,15964,7.75,238812,186,67,97.71,28,36,367,1197,27.22,1,1,331,23970,1236.4082,00:03:05,12.896
30-05-2019,1.4852,14370,7.14,229556,77,44,98.58,13,20,320,904,25.68,0,0,300,21343,1003.7672,00:02:49,9.946
31-05-2019,1.523,9611,7.59,152976,34,32,96.91,17,23,228,534,27.7,0,0,205,14638,696.1298,00:02:51,7.055
01-06-2019,1.4912,7458,7.49,117794,24,18,98.94,4,20,174,375,26.92,0,0,154,11121,500.7895,00:02:42,3.258
